;Anio;Trimestre;Mbps (Media de bajada);id_provincia
185;2021;1;6,910089995382067;18
186;2021;1;21,594379804710776;19
187;2021;1;7,501531847531764;20
188;2021;1;28,130630073152936;21
189;2021;1;11,584174516498134;22
190;2021;1;8,734752396277898;23
191;2021;1;37,97961958190828;24
192;2020;4;50,008380839635755;1
193;2020;4;67,32513676879374;2
194;2020;4;37,6500877273544;3
195;2020;4;32,45204676418101;4
196;2020;4;7,383087626414736;5
197;2020;4;35,120601241883946;7
198;2020;4;25,446700896630592;6
199;2020;4;24,05327825306045;8
200;2020;4;19,6983490087788;9
201;2020;4;25,20639328416149;10
202;2020;4;9,875605170860927;11
203;2020;4;12,534655980598345;12
204;2020;4;11,093171319457166;13
205;2020;4;24,956617779680364;14
206;2020;4;33,90786486677393;15
207;2020;4;21,636719189849995;16
208;2020;4;25,322439650744734;17
209;2020;4;6,412867397953183;18
210;2020;4;21,252954082189127;19
211;2020;4;7,492108628119051;20
212;2020;4;27,294352446215623;21
213;2020;4;11,280765527511996;22
214;2020;4;8,486806949337868;23
215;2020;4;36,442246829152964;24
216;2020;3;48,37662390811511;1
217;2020;3;63,80852025607172;2
218;2020;3;36,540436607329845;3
219;2020;3;30,802726948564217;4
220;2020;3;7,402074441844787;5
221;2020;3;33,51119497419789;7
222;2020;3;23,851523971242955;6
223;2020;3;22,432598646206184;8
224;2020;3;18,282832069430402;9
225;2020;3;21,910419686869954;10
226;2020;3;10,697630905402091;11
227;2020;3;12,194703767058197;12
228;2020;3;10,18749103459563;13
229;2020;3;24,141761872521517;14
230;2020;3;31,46090402703376;15
231;2020;3;21,077778703258762;16
232;2020;3;25,261155924027737;17
233;2020;3;6,027864793582682;18
234;2020;3;20,84992813378867;19
235;2020;3;6,649363712026633;20
236;2020;3;25,690941341268072;21
237;2020;3;10,879017270659741;22
238;2020;3;8,506676055475614;23
239;2020;3;34,835801698615526;24
240;2020;2;45,66197363212277;1
241;2020;2;60,4844973584038;2
242;2020;2;34,92595642857143;3
243;2020;2;27,952284674364286;4
244;2020;2;7,605487984559083;5
