;Anio;Trimestre;Accesos por cada 100 hogares;Accesos por cada 100 hab;id_provincia
129;2021;3;55,6892647441935;14,240381868423986;10
130;2021;3;84,27996309653611;27,767891191051227;11
131;2021;3;77,26016061386845;20,565964530219404;12
132;2021;3;45,54828468056102;12,710228113581037;13
133;2021;3;45,57065365808786;12,411772581325813;14
134;2021;3;69,70653344501615;20,74816202113861;15
135;2021;3;61,967213114754095;19,05925062746504;16
136;2021;3;55,964278059584196;13,55352602212216;17
137;2021;3;39,4554480019856;10,050236642022515;18
138;2021;3;79,87043349212911;22,857408818789526;19
139;2021;3;43,74732028012005;13,016254371883871;20
140;2021;3;75,01704762728227;23,58815244581783;21
141;2021;3;47,0;11,660736690891678;22
142;2021;3;94,95386825985027;28,150170112829368;23
143;2021;3;54,63604486100796;13,533446775711843;24
144;2021;2;70,00330336027972;23,35247372787298;1
145;2021;2;110,14440203212098;45,48719048129489;2
146;2021;2;52,34030966263861;13,313748671467298;3
147;2021;2;43,32762729293539;11,580041340539402;4
148;2021;2;72,29410481936469;22,159781771420207;5
149;2021;2;80,11518795931242;24,528406291253745;7
150;2021;2;43,5411637336848;11,465064580129559;6
151;2021;2;61,660264464787886;18,435680632917915;8
152;2021;2;33,22548419322613;8,456293049570467;9
153;2021;2;56,182157011467694;14,366784069218694;10
154;2021;2;82,08000672325404;27,043558440191944;11
155;2021;2;76,9786615851933;20,49158509575061;12
156;2021;2;40,97324182617088;11,433847066800618;13
157;2021;2;45,0128113119994;12,26014659485293;14
158;2021;2;69,14021084638621;20,58023612564588;15
159;2021;2;61,94204057417748;19,052051860128394;16
160;2021;2;54,930090174788894;13,303441391384512;17
161;2021;2;39,28402570062062;10,00671906693712;18
162;2021;2;83,47810720063075;23,89055527674358;19
163;2021;2;44,01491665543425;13,096756425784957;20
164;2021;2;75,06878626293008;23,60478745301367;21
165;2021;2;46,557275364921054;11,554388875216853;22
166;2021;2;67,88580775229184;20,126647945777083;23
167;2021;2;54,928196510348045;13,606163819728007;24
168;2021;1;69,10524076185938;22,998353975762015;1
169;2021;1;108,4199392232935;44,82699016464177;2
170;2021;1;48,899092927848244;12,438278918256517;3
171;2021;1;43,13649241708794;11,528896477487843;4
172;2021;1;68,9942808881567;21,147838315076264;5
173;2021;1;78,59028062380018;24,061371645661506;7
174;2021;1;42,664128438821415;11,234115869536096;6
175;2021;1;60,439449728342346;18,070581721504354;8
176;2021;1;32,732955756327215;8,330895284429907;9
177;2021;1;55,63244789620541;14,226045966500736;10
178;2021;1;81,77676345752207;26,943299898725044;11
179;2021;1;49,80693519079345;13,258360163449572;12
180;2021;1;39,153661528996416;10,926002451479471;13
181;2021;1;43,172438905971845;11,758811611223322;14
182;2021;1;66,84208942045272;19,895917331182986;15
183;2021;1;60,87924030325769;18,724905657874665;16
184;2021;1;53,93001926339093;13,061128426236175;17
185;2021;1;39,055194335357605;9,948368694803314;18
186;2021;1;81,23730177127507;23,24883515831701;19
187;2021;1;41,64783103990742;12,391825403443834;20
188;2021;1;73,91656407026184;23,242382186130484;21
189;2021;1;45,67308282365455;11,334871169032645;22
190;2021;1;77,34935609177366;22,9312154304354;23
191;2021;1;54,81892254125389;13,57896382467824;24
192;2020;4;68,97702220170737;22,90151153254686;1
193;2020;4;108,31107489043508;44,833968426782796;2
194;2020;4;49,40688354549741;12,567459308545084;3
195;2020;4;43,030788649779105;11,50064617804086;4
196;2020;4;68,35189915825622;20,950871174621614;5
197;2020;4;78,07960876338194;23,904978675681004;7
198;2020;4;42,42828394694903;11,172002734788627;6
199;2020;4;59,47430676097378;17,78197083072765;8
200;2020;4;32,487381907596735;8,268390853815193;9
201;2020;4;53,45659123390888;13,669623117135359;10
202;2020;4;81,76793248945148;26,940422171804798;11
203;2020;4;50,11061211701148;13,339129511730942;12
204;2020;4;38,62957896227819;10,779753857792285;13
205;2020;4;42,64411416119227;11,614898792582805;14
206;2020;4;67,00234522048092;19,943555550895127;15
207;2020;4;61,088615480454756;18,789319055171752;16
208;2020;4;54,04275200147659;13,088389057411085;17
209;2020;4;36,32088215575813;9,251858120163535;18
210;2020;4;81,67947806105701;23,375314368474104;19
211;2020;4;36,99957245908797;11,008682660661702;20
212;2020;4;73,58073807267776;23,136769743176906;21
213;2020;4;43,749256620689934;10,857437164805166;22
214;2020;4;76,26583496977399;22,609569143137627;23
215;2020;4;54,78340441369959;13,57016980842894;24
216;2020;3;67,65618983090923;22,410088053440287;1
217;2020;3;107,6759011657323;44,62274289719256;2
218;2020;3;47,15709898417198;11,995288801288368;3
219;2020;3;41,54192057806515;11,102767361905425;4
220;2020;3;68,34389815720037;20,94871530485329;5
221;2020;3;75,22035723669207;23,029708353509868;7
222;2020;3;41,750749470464434;10,993613616681577;6
223;2020;3;58,1901640924315;17,398110879051448;8
224;2020;3;31,905623310186538;8,120337229392224;9
225;2020;3;54,04441923820905;13,820037033679931;10
226;2020;3;79,26447706670275;26,115702018823033;11
227;2020;3;50,118113236302676;13,341312020771634;12
228;2020;3;37,348633137232696;10,422355488053226;13
229;2020;3;41,60448628544863;11,331798537010407;14
230;2020;3;65,24417025530218;19,42045929269766;15
231;2020;3;57,052405915845014;17,54802558517;16
232;2020;3;52,31571212848803;12,670239307125406;17
233;2020;3;38,78995525412846;9,88083251128296;18
234;2020;3;79,96172209417188;22,8839263803681;19
235;2020;3;35,95152890784452;10,697207032526524;20
236;2020;3;72,12060247348236;22,677710522681583;21
237;2020;3;43,37593131691913;10,76484130094044;22
238;2020;3;76,80909583946696;22,771515363810202;23
239;2020;3;53,2281495112899;13,184990703555616;24
240;2020;2;65,2205801358229;21,552858404836318;1
241;2020;2;106,41480599073645;44,15182686820503;2
242;2020;2;45,43181818181818;11,556666835285702;3
243;2020;2;39,83250279006581;10,646198278920558;4
244;2020;2;57,344613387235526;17,577923412048097;5
245;2020;2;72,71358531242393;22,262629768284135;7
246;2020;2;40,30476267979574;10,613139950481656;6
247;2020;2;56,538654739709614;16,90464963972206;8
248;2020;2;31,1394362262631;7,925539742616724;9
249;2020;2;47,887810227872784;12,246000275261045;10
250;2020;2;76,10158288987562;25,07384596485546;11
251;2020;2;49,83993501839552;13,267548880443243;12
252;2020;2;36,25224342110005;10,116652469373573;13
253;2020;2;40,88779600969606;11,136919674351834;14
254;2020;2;63,898469033764314;19,02059866374008;15
255;2020;2;56,369335248791955;17,338453751536527;16
256;2020;2;51,58158335340357;12,492822821915325;17
257;2020;2;35,09485776365026;8,939786450606132;18
258;2020;2;78,4096773527651;22,440286647722235;19
259;2020;2;35,79262396979603;10,650675172081195;20
260;2020;2;70,002168637187;22,01189934872471;21
261;2020;2;43,46716682468362;10,787648634906734;22
262;2020;2;76,36948260742473;22,642392447335883;23
263;2020;2;51,78074091030483;12,826796661758182;24
264;2020;1;64,32563101743429;21,208081014212762;1
265;2020;1;105,98017414181909;44,02408243452466;2
266;2020;1;37,615427687460254;9,568286447482455;3
267;2020;1;37,483833369172615;10,018358007806318;4
268;2020;1;51,26848941909703;15,715139739949185;5
269;2020;1;70,6880744339108;21,64232669040361;7
270;2020;1;38,729079942230904;10,198192297264285;6
271;2020;1;56,12006051437216;16,779387594256768;8
272;2020;1;30,228303962606848;7,693633209507935;9
273;2020;1;46,670230639987786;11,934505713694248;10
274;2020;1;75,76678781291396;24,96348894596364;11
275;2020;1;46,346631384166976;12,337423688670192;12
276;2020;1;33,14207670017271;9,248656325291032;13
277;2020;1;39,01834755171205;10,627621055982175;14
278;2020;1;61,84749362355069;18,409872883598883;15
279;2020;1;55,11566865962362;16,95263605430754;16
280;2020;1;49,59568027012866;12,011697200976553;17
281;2020;1;32,392292136304725;8,251277881190129;18
282;2020;1;76,30854184641933;21,838769386372302;19
283;2020;1;35,97427628896549;10,704172537298618;20
284;2020;1;69,52357940253133;21,86132458787361;21
285;2020;1;42,466359187991806;10,539212166838636;22
286;2020;1;76,06964979018785;22,552553250860385;23
287;2020;1;47,84792325850032;11,852464901793745;24
288;2019;4;64,25205288245421;21,135089381908887;1
289;2019;4;106,24546751041055;44,18705360861236;2
290;2019;4;36,43842912715547;9,268865071492511;3
291;2019;4;36,835478630342415;9,84506318966921;4
292;2019;4;51,145017855147124;15,677171185926401;5
293;2019;4;70,48295566244217;21,57949716642836;7
294;2019;4;38,767440989262106;10,208283637368018;6
295;2019;4;57,99221691704514;17,339132629892976;8
296;2019;4;30,471313480544048;7,755476118924716;9
297;2019;4;45,37754633175065;11,60391510228381;10
298;2019;4;76,92418969170417;25,344921847620384;11
299;2019;4;47,13589011052434;12,547563567459605;12
300;2019;4;33,64903072027183;9,390112733918839;13
301;2019;4;39,78923684048622;10,837581902491847;14
302;2019;4;59,35590092822445;17,668184976921886;15
303;2019;4;55,70500968287489;17,13387032217983;16
304;2019;4;50,35463892238824;12,195492805546795;17
305;2019;4;32,85497572815534;8,36915261267133;18
306;2019;4;74,92002603481464;21,441352893267833;19
307;2019;4;36,71136308535834;10,923427797723754;20
308;2019;4;69,48235725596862;21,84835065573258;21
309;2019;4;42,92077382358182;10,651974288337923;22
310;2019;4;79,69536136377089;23,627546752616215;23
311;2019;4;47,64902012521289;11,803181280712074;24
312;2019;3;69,35630106079125;22,761733615562225;1
313;2019;3;112,6453878037209;46,904770893488056;2
314;2019;3;30,883614526737205;7,855954765218487;3
