;Partido;Localidad;Link Indec;ADSL;CABLEMODEM;DIAL UP;FIBRA OPTICA;OTROS;SATELITAL;WIMAX;WIRELESS;Total general;id_provincia
2624;Castellanos;Eusebia y Carolina;82021180;27;0;0;148;0;0;0;0;175;21
2625;Castellanos;Eustolia;82021190;0;0;0;0;0;0;0;4;4;21
2626;Castellanos;Humberto Primo;82021220;197;53;0;33;0;0;0;262;545;21
2627;Castellanos;Josefina;82021230;27;77;0;0;0;0;0;1;105;21
2628;Castellanos;Lehmann;82021240;192;342;0;166;0;0;0;0;700;21
2629;Castellanos;María Juana;82021250;674;1;0;897;0;0;0;52;1624;21
2630;Castellanos;Plaza Clucellas;82021270;45;283;0;0;0;0;0;0;328;21
2631;Castellanos;Plaza Saguier;82021280;0;51;0;0;0;0;0;0;51;21
2632;Castellanos;Presidente Roca;82021290;0;137;0;1;0;0;0;5;143;21
2633;Castellanos;Pueblo Marini;82021300;0;0;0;0;0;0;0;11;11;21
2634;Castellanos;Rafaela;82021310;2705;22925;0;4201;6;2;0;1497;31336;21
2635;Castellanos;Ramona;82021320;1;0;0;0;0;0;0;327;328;21
2636;Castellanos;San Antonio;82021330;0;10;0;0;0;0;0;59;69;21
2637;Castellanos;San Vicente;82021340;770;1334;0;0;0;0;0;42;2146;21
2638;Castellanos;Santa Clara de Saguier;82021350;160;107;0;0;0;0;0;218;485;21
2639;Castellanos;Sunchales;82021360;1065;21;1;6379;0;0;0;67;7533;21
2640;Castellanos;Susana;82021370;0;0;0;326;0;0;0;78;404;21
2641;Castellanos;Tacural;82021380;437;0;0;494;0;0;0;0;931;21
2642;Castellanos;Vila;82021390;419;0;0;0;0;0;0;0;419;21
2643;Castellanos;Villa San José;82021410;0;53;0;0;0;0;0;31;84;21
2644;Castellanos;Virginia;82021420;0;0;0;0;0;0;0;9;9;21
2645;Castellanos;Zenón Pereyra;82021430;0;53;0;0;0;0;0;0;53;21
2646;Castellanos;Frontera;82021200;0;0;0;0;0;0;0;1;1;21
2647;Constitución;Alcorta;82028010;215;1301;0;430;0;0;0;537;2483;21
2648;Constitución;Bombal;82028040;245;132;0;626;0;0;0;0;1003;21
2649;Constitución;Empalme Villa Constitución;82028070;620;0;0;0;0;0;0;0;620;21
2650;Constitución;Godoy;82028100;0;0;0;0;0;0;0;152;152;21
2651;Constitución;Juan B. Molina;82028110;350;0;0;0;0;0;0;1;351;21
2652;Constitución;Juncal;82028120;256;0;0;1;0;0;0;27;284;21
2653;Constitución;La Vanguardia;82028130;0;0;0;114;0;0;0;0;114;21
2654;Constitución;Máximo Paz (Est. Paz);82028140;600;321;0;0;0;0;0;271;1192;21
2655;Constitución;Pavón;82028150;99;0;0;0;0;0;0;0;99;21
2656;Constitución;Pavón Arriba;82028160;0;75;0;471;0;0;0;25;571;21
2657;Constitución;Rueda;82028180;0;0;0;0;0;0;0;72;72;21
2658;Constitución;Santa Teresa;82028190;165;56;0;575;0;0;0;103;899;21
2659;Constitución;Sargento Cabral;82028200;0;0;0;347;0;0;0;102;449;21
2660;Constitución;Villa Constitución;82028230;4320;2005;0;559;0;0;0;1292;8176;21
2661;Constitución;Peyrano;82028170;0;743;0;0;0;0;0;0;743;21
2662;Constitución;Cepeda;82028060;0;0;0;0;0;0;0;4;4;21
2663;Constitución;General Gelly;82028090;189;0;0;0;0;0;0;4;193;21
2664;Garay;Cayastá;82035010;0;0;0;0;0;0;0;429;429;21
2665;Garay;Helvecia;82035020;0;440;0;0;0;0;0;205;645;21
2666;Garay;Saladero Mariano Cabal;82035040;0;0;0;0;0;2;0;64;66;21
2667;Garay;Santa Rosa de Calchines;82035050;77;941;0;0;0;0;0;0;1018;21
2668;Garay;Los Zapallos;82035030;0;67;0;0;67;0;0;0;134;21
2669;General López;Aarón Castellanos (Est. Castellanos);82042010;0;0;0;0;0;0;0;36;36;21
2670;General López;Amenábar;82042020;155;0;0;0;0;0;0;80;235;21
2671;General López;Cafferata;82042030;246;0;0;1;0;0;0;0;247;21
2672;General López;Cañada del Ucle;82042040;222;0;0;0;0;0;0;200;422;21
2673;General López;Carmen;82042050;0;0;0;0;40;0;0;100;140;21
2674;General López;Carreras;82042060;0;1;0;0;0;0;0;274;275;21
2675;General López;Chapuy;82042070;0;1;0;0;0;0;0;0;1;21
2676;General López;Chovet;82042080;0;1;0;0;0;2;0;0;3;21
2677;General López;Christophersen;82042090;0;0;0;15;0;0;0;78;93;21
2678;General López;Diego de Alvear;82042100;206;0;0;64;0;0;0;108;378;21
2679;General López;Elortondo;82042110;486;1290;0;0;0;0;0;70;1846;21
2680;General López;Firmat;82042120;276;1483;0;3316;0;0;0;0;5075;21
2681;General López;Hughes;82042130;0;0;0;1391;0;0;0;0;1391;21
2682;General López;La Chispa;82042140;0;0;0;0;0;0;0;71;71;21
2683;General López;Maggiolo;82042170;78;0;0;0;1;0;0;50;129;21
2684;General López;María Teresa;82042180;21;1042;0;0;1;0;0;30;1094;21
2685;General López;Melincué (Est. San Urbano);82042190;0;0;0;0;0;0;0;201;201;21
2686;General López;Miguel Torres;82042200;0;1;0;0;0;0;0;0;1;21
2687;General López;Murphy;82042210;0;0;0;717;0;0;0;0;717;21
2688;General López;Rufino;82042220;1243;47;0;5953;0;0;0;0;7243;21
2689;General López;San Eduardo;82042230;152;0;0;153;0;0;0;0;305;21
2690;General López;San Francisco de Santa Fe;82042240;0;0;0;45;0;1;0;0;46;21
2691;General López;San Gregorio;82042250;43;0;0;1013;0;0;0;118;1174;21
2692;General López;Sancti Spiritu;82042260;294;0;0;158;0;1;0;605;1058;21
2693;General López;Santa Isabel;82042270;198;0;0;1149;0;1;0;0;1348;21
2694;General López;Teodelina;82042280;0;935;0;0;0;0;0;165;1100;21
2695;General López;Venado Tuerto;82042290;1968;17646;0;1465;380;0;0;79;21538;21
2696;General López;Villa Cañás;82042300;666;1195;0;839;4;0;0;171;2875;21
2697;General López;Wheelwright;82042310;0;1136;0;1;0;1;0;299;1437;21
2698;General López;Labordeboy;82042150;215;0;0;0;0;0;0;0;215;21
2699;General Obligado;Avellaneda (Est. Ewald);82049020;3;15;0;3692;750;0;0;1141;5601;21
2700;General Obligado;Berna;82049030;0;0;0;0;10;0;0;48;58;21
2701;General Obligado;El Araza;82049040;0;0;0;0;0;0;0;126;126;21
2702;General Obligado;El Rabón;82049050;0;65;0;0;0;1;0;99;165;21
2703;General Obligado;Florencia;82049060;261;136;0;0;0;1;0;188;586;21
2704;General Obligado;Guadalupe Norte;82049070;86;0;0;0;0;0;0;0;86;21
2705;General Obligado;Ingeniero Chanourdie;82049080;0;0;0;0;0;1;0;85;86;21
2706;General Obligado;La Isleta;82049090;0;0;0;0;0;1;0;0;1;21
2707;General Obligado;La Sarita;82049100;0;0;0;0;0;0;0;85;85;21
2708;General Obligado;Las Garzas;82049120;92;0;0;0;0;0;0;0;92;21
2709;General Obligado;Las Toscas;82049130;517;1045;0;190;0;1;0;493;2246;21
2710;General Obligado;Los Laureles;82049140;0;0;0;0;20;0;0;0;20;21
2711;General Obligado;Malabrigo;82049150;653;924;0;0;160;0;0;91;1828;21
2712;General Obligado;Paraje San Manuel;82049160;0;0;0;0;0;1;0;0;1;21
2713;General Obligado;Reconquista;82049180;1756;14307;1;7054;800;2;0;2839;26759;21
2714;General Obligado;San Antonio de Obligado;82049190;121;132;0;0;0;6;0;5;264;21
2715;General Obligado;Tacuarendí (Emb. Kilómetro 421);82049200;95;115;0;0;0;0;0;3;213;21
2716;General Obligado;Villa Ana;82049210;0;0;0;0;0;1;0;0;1;21
2717;General Obligado;Villa Guillermina;82049220;167;173;0;0;0;1;0;89;430;21
2718;General Obligado;Villa Ocampo;82049230;2009;1613;0;16;29;1;0;0;3668;21
2719;General Obligado;Lanteri;82049110;0;0;0;0;0;0;0;300;300;21
2720;General Obligado;Arroyo Ceibal;82049010;0;0;0;0;0;0;0;108;108;21
2721;Iriondo;Barrio Cicarelli;82056010;0;0;0;0;0;0;0;9;9;21
2722;Iriondo;Bustinza;82056020;287;0;0;6;0;0;0;90;383;21
2723;Iriondo;Cañada de Gómez;82056030;1176;7259;0;329;0;0;0;411;9175;21
2724;Iriondo;Carrizales (Est. Clarke);82056040;489;17;0;0;0;0;0;0;506;21
2725;Iriondo;Classon;82056050;0;0;0;138;0;0;0;21;159;21
2726;Iriondo;Colonia Médici;82056060;0;0;0;0;0;0;0;12;12;21
2727;Iriondo;Correa;82056070;109;1063;0;572;1;0;0;23;1768;21
2728;Iriondo;Larguía;82056080;0;0;0;0;0;0;0;7;7;21
2729;Iriondo;Lucio V. López;82056090;0;5;0;0;0;0;0;31;36;21
2730;Iriondo;Oliveros;82056100;2000;0;0;1360;0;1;0;0;3361;21
2731;Iriondo;Pueblo Andino;82056110;0;756;0;0;0;0;0;414;1170;21
2732;Iriondo;Salto Grande;82056120;493;0;0;0;0;0;0;89;582;21
2733;Iriondo;Serodino;82056130;215;0;0;12;0;0;0;113;340;21
2734;Iriondo;Totoras;82056140;501;0;0;920;0;0;0;131;1552;21
2735;Iriondo;Villa Eloísa;82056150;563;0;0;457;0;0;0;81;1101;21
2736;Iriondo;Villa La Rivera (Oliveros);82056160;0;0;0;0;0;0;0;37;37;21
2737;Iriondo;Villa La Rivera (Pueblo Andino);82056170;92;0;0;0;0;2;0;26;120;21
2738;La Capital;Angel Gallardo;82063010;0;0;0;0;0;0;0;27;27;21
2739;La Capital;Arroyo Aguiar;82063020;101;0;0;0;0;2;0;38;141;21
2740;La Capital;Arroyo Leyes;82063030;0;1115;0;88;0;0;0;106;1309;21
2741;La Capital;Cabal;82063040;0;0;0;0;0;0;0;13;13;21
2742;La Capital;Candioti;82063060;0;0;0;251;0;0;0;1;252;21
2743;La Capital;Emilia;82063070;101;0;0;153;0;0;0;1;255;21
2744;La Capital;Laguna Paiva;82063080;1821;0;0;0;0;0;0;76;1897;21
2745;La Capital;Llambi Campbell;82063090;187;0;0;0;73;0;0;186;446;21
2746;La Capital;Monte Vera;82063100;261;0;0;0;0;3;0;0;264;21
2747;La Capital;Nelson;82063110;387;0;0;1;3;0;0;69;460;21
2748;La Capital;Recreo;82063140;1036;32;0;0;0;0;0;275;1343;21
2749;La Capital;San José del Rincón;82063160;1533;2329;0;504;0;1;0;0;4367;21
2750;La Capital;Santa Fe;82063170;18196;63471;32;44573;1832;9;0;115;128228;21
2751;La Capital;Santo Tomé;82063180;13;13;0;428;11;0;0;469;934;21
2752;La Capital;Sauce Viejo;82063190;964;0;0;170;0;0;0;77;1211;21
2753;Las Colonias;Cavour;82070010;0;0;0;0;0;0;0;3;3;21
2754;Las Colonias;Cululú;82070020;0;0;0;0;0;0;0;24;24;21
2755;Las Colonias;Elisa;82070030;0;0;0;235;0;0;0;0;235;21
2756;Las Colonias;Empalme San Carlos;82070040;0;0;0;0;0;0;0;13;13;21
2757;Las Colonias;Esperanza;82070050;1732;8254;0;26;0;5;0;420;10437;21
2758;Las Colonias;Felicia;82070060;0;0;0;0;0;0;0;443;443;21
2759;Las Colonias;Franck;82070070;165;0;0;162;0;0;0;101;428;21
2760;Las Colonias;Grutly;82070080;93;0;0;0;0;0;0;21;114;21
