;Partido;Localidad;Link Indec;ADSL;CABLEMODEM;DIAL UP;FIBRA OPTICA;OTROS;SATELITAL;WIMAX;WIRELESS;Total general;id_provincia
134;Castelli;Castelli;6168010;67;1109;0;1121;0;2;0;28;2327;1
135;Castelli;Centro Guerrero;6168020;0;0;0;46;0;0;0;3;49;1
136;Castelli;Cerro De La Gloria;6168030;0;0;0;7;0;0;0;0;7;1
137;Chacabuco;Castilla;6210010;0;0;0;0;0;0;0;274;274;1
138;Chacabuco;Chacabuco;6210020;925;9935;16;14;16;0;0;2;10908;1
139;Chacabuco;O'Higgins;6210040;260;0;0;220;0;0;0;12;492;1
140;Chacabuco;Rawson;6210050;59;0;0;383;0;0;0;134;576;1
141;Chascomús;Chascomús;6217010;2159;7571;85;1159;85;1;0;0;11060;1
142;Chascomús;Manuel J. Cobo  (Est. Lezama);6217020;104;1879;0;0;0;0;444;0;2427;1
143;Chascomús;Barrio San Cayetano;6217020;0;0;0;132;0;0;0;0;132;1
144;Chivilcoy;Chivilcoy;6224010;2628;9055;119;976;119;1;0;3172;16070;1
145;Chivilcoy;La Rica;6224040;39;0;0;0;0;0;0;97;136;1
146;Chivilcoy;Moquehuá;6224050;0;338;0;546;0;0;0;29;913;1
147;Chivilcoy;Ramón Biaus;6224060;3;0;0;0;0;0;0;47;50;1
148;Chivilcoy;San Sebastián;6224070;3;0;0;0;0;0;0;49;52;1
149;Chivilcoy;Gorostiaga;6224030;55;0;0;0;0;0;0;2;57;1
150;Colón;Colón;6175010;4143;1609;0;1794;0;0;0;20;7566;1
151;Colón;Sarasa;6175040;0;0;0;0;0;0;0;14;14;1
152;Coronel de Marina L. Rosales;Balneario Pehuen Co;6182020;0;0;0;0;0;1;0;0;1;1
153;Coronel de Marina L. Rosales;Punta Alta  (Est Almirante Solier);6182030;852;20570;48;6;0;6;0;0;21482;1
154;Coronel de Marina L. Rosales;Villa General Arias  (Est. Kilómetro 638);6182050;0;0;0;120;0;0;0;0;120;1
155;Coronel de Marina L. Rosales;Pago Chico;6182025;0;0;0;0;0;0;0;42;42;1
156;Coronel de Marina L. Rosales;Bajo Hondo;6182010;0;0;0;30;0;0;0;53;83;1
157;Coronel Dorrego;Coronel Dorrego;6189030;228;1170;3;1;0;0;0;32;1434;1
158;Coronel Dorrego;El Perdido  (Est. José A. Guisasola);6189040;0;0;0;32;0;0;0;5;37;1
159;Coronel Dorrego;Oriente;6189070;0;0;0;586;0;0;0;48;634;1
160;Coronel Dorrego;Balneario Marisol;6189020;0;0;0;342;0;0;0;0;342;1
161;Coronel Pringles;Coronel Pringles  (Est. Pringles);6196010;649;2056;3;5;0;0;0;171;2884;1
162;Coronel Pringles;Indio Rico;6196040;0;0;1;24;0;0;0;3;28;1
163;Coronel Suárez;Coronel Suárez;6203020;817;2429;88;1609;88;0;0;785;5816;1
164;Coronel Suárez;Huanguelén;6203050;0;0;1;1526;0;0;0;546;2073;1
165;Coronel Suárez;Pasman;6203060;0;0;0;0;0;0;0;52;52;1
166;Coronel Suárez;San José;6203070;0;50;0;795;0;0;0;0;845;1
167;Coronel Suárez;Santa María;6203080;0;17;0;515;0;0;0;0;532;1
168;Coronel Suárez;Santa Trinidad;6203090;0;63;0;648;0;0;0;0;711;1
169;Coronel Suárez;Villa La Arcadia;6203100;0;104;0;72;0;0;0;0;176;1
170;Daireaux;Daireaux;6231030;281;0;0;0;194;50;0;339;864;1
171;Daireaux;Salazar;6231060;0;0;0;0;0;0;0;79;79;1
172;Dolores;Dolores;6238010;1575;11070;1;8;0;0;325;0;12979;1
173;Dolores;Sevigne;6238020;0;0;0;0;0;0;0;1;1;1
174;Ensenada;Ensenada;6245010;1534;10838;17;2923;6;0;0;2092;17410;1
175;Ensenada;Villa Catela;6245010;0;0;0;0;0;0;0;7;7;1
176;Escobar;Belen de Escobar;6252010;2614;17042;21;9338;333;1;0;97;29446;1
177;Escobar;El cazador;6252010;0;975;0;2226;0;0;0;0;3201;1
178;Escobar;Garín;6252010;4440;9756;3;3645;2;2;0;11;17859;1
179;Escobar;Ingeniero Maschwitz;6252010;933;4261;3;3091;1;0;0;300;8589;1
180;Escobar;Loma Verde;6252010;0;0;0;1058;0;0;0;0;1058;1
181;Escobar;Maquinista F. Savio (este);6252010;404;4528;0;14;2;0;0;14;4962;1
182;Escobar;Matheu;6252010;1242;2584;2;23;3;2;0;58;3914;1
183;Esteban Echeverría;9 De Abril;6260010;237;6668;6;12;1;0;0;153;7077;1
184;Esteban Echeverría;Canning;6260010;3;3636;0;1050;1;0;0;288;4978;1
185;Esteban Echeverría;El Jagüel;6260010;0;6276;0;4;2;2;0;89;6373;1
186;Esteban Echeverría;Luis Guillón;6260010;4;7436;2;1758;1;0;0;77;9278;1
187;Esteban Echeverría;Monte Grande;6260010;211;27784;61;24799;70;4;0;312;53241;1
188;Esteban Echeverría;Zona Aeropuerto Internacional Ezeiza;6260010;2;0;0;0;0;0;0;0;2;1
189;Exaltación de la Cruz;Arroyo de la Cruz;6266010;0;0;0;0;0;0;0;164;164;1
190;Exaltación de la Cruz;Capilla del Señor  (Est. Capilla);6266020;359;0;6;82;0;0;0;0;447;1
191;Exaltación de la Cruz;Los Cardales;6266040;2;7166;2;0;0;2;0;0;7172;1
192;Exaltación de la Cruz;Parada Orlando;6266050;0;0;0;0;0;0;0;5;5;1
193;Exaltación de la Cruz;Parada Robles - Pavón;6266060;1150;0;0;1906;0;0;0;164;3220;1
194;Exaltación de la Cruz;El Remanso;6266030;397;0;0;335;0;0;0;43;775;1
195;Ezeiza;Aeropuerto Internacional Ezeiza;6270010;223;0;3;4;0;1;0;0;231;1
196;Ezeiza;Canning;6270010;194;1799;1;1036;1;0;0;150;3181;1
197;Ezeiza;Carlos Spegazzini;6270010;343;5817;2;1309;164;2;0;1;7638;1
198;Ezeiza;José Maria Ezeiza;6270010;540;14124;13;4960;0;2;0;103;19742;1
199;Ezeiza;La Unión;6270010;107;9129;1;752;0;2;0;0;9991;1
200;Ezeiza;OTROS;Sin Datos;3;1;0;5;0;0;0;0;9;1
201;Ezeiza;Tristán Suarez;6270010;571;11156;5;900;18;0;0;8;12658;1
202;Florencio Varela;Bosques;6274010;35;7704;3;3403;13;0;0;266;11424;1
203;Florencio Varela;Estanislao Severo Zeballos;6274010;7;2435;4;4028;0;0;0;0;6474;1
204;Florencio Varela;Florencio Varela;6274010;661;17987;30;23820;263;4;0;810;43575;1
205;Florencio Varela;Gobernador Julio A. Costa;6274010;13;7370;6;487;0;0;0;0;7876;1
206;Florencio Varela;Ingeniero Juan Allan;6274010;2505;5170;0;907;0;0;0;0;8582;1
207;Florencio Varela;La Capilla;6274010;0;0;0;4;0;0;0;0;4;1
208;Florencio Varela;la rotonda;6274010;357;0;0;0;0;0;0;0;357;1
209;Florencio Varela;Villa Brown;6274010;0;88;0;280;0;0;0;0;368;1
210;Florencio Varela;Villa San Luis;6274010;0;363;0;0;0;0;0;0;363;1
211;Florencio Varela;Villa Santa Rosa;6274010;31;4061;1;226;0;0;0;0;4319;1
212;Florencio Varela;Villa Vatteone;6274010;12;4377;1;2574;0;0;0;0;6964;1
213;Florentino Ameghino;Blaquier;6277010;0;0;0;0;0;1;0;5;6;1
214;Florentino Ameghino;Florentino Ameghino;6277020;98;0;0;329;0;0;0;0;427;1
215;Florentino Ameghino;Porvenir;6277030;0;0;0;0;0;0;0;2;2;1
216;General Alvarado;Comandante Nicanor Otamendi;6280010;0;0;3;930;0;1;0;32;966;1
217;General Alvarado;Mar del Sur;6280020;0;0;2;0;0;0;0;142;144;1
218;General Alvarado;Mechongué;6280030;256;0;0;0;0;0;0;3;259;1
219;General Alvarado;Miramar;6280040;4888;1656;74;1;76;2;0;960;7657;1
220;General Alvarado;Centinela Del Mar;6280005;0;0;0;0;0;0;0;1;1;1
221;General Arenales;Arribeños;6294010;271;401;1;201;15;0;0;265;1154;1
222;General Arenales;Ascensión;6294020;1200;395;0;0;250;0;0;139;1984;1
223;General Arenales;Ferré;6294040;0;152;0;351;0;0;0;407;910;1
224;General Arenales;General Arenales;6294050;0;863;1;291;0;0;0;410;1565;1
225;General Arenales;La Angelita;6294060;26;0;0;0;2;0;0;67;95;1
226;General Arenales;La Trinidad;6294070;0;15;0;1;0;0;0;102;118;1
227;General Belgrano;General Belgrano;6301010;513;1916;5;2;0;1;0;886;3323;1
228;General Belgrano;Gorchs;6301020;0;0;0;0;0;1;0;44;45;1
229;General Guido;General Guido;6308010;0;0;1;302;0;0;0;228;531;1
230;General Guido;Labarden;6308020;0;0;0;0;0;0;0;72;72;1
231;General Juan Madariaga;General Juan Madariaga;6315010;728;486;8;4858;0;2;0;0;6082;1
232;General La Madrid;General La Madrid;6322010;2510;0;74;1148;74;0;0;265;4071;1
233;General La Madrid;Las Martinetas;6322030;0;0;0;0;0;0;0;16;16;1
234;General Las Heras;General Las Heras  (Est. Las Heras);6329020;272;2222;3;19;1;0;0;2;2519;1
235;General Las Heras;Lozano;6329020;0;0;0;0;0;1;0;0;1;1
236;General Las Heras;Villars;6329060;0;270;1;1;0;0;0;0;272;1
237;General Lavalle;General Lavalle;6336020;0;358;0;4;0;1;0;69;432;1
238;General Lavalle;OTROS;Sin Datos;0;0;0;1;0;0;0;0;1;1
239;General Lavalle;Pavón;6336030;0;0;0;201;22;0;0;3;226;1
240;General Lavalle;Chacras de San Clemente;6336020;0;0;0;0;0;0;0;1;1;1
241;General Paz;Loma Verde;6343020;0;0;0;0;0;0;0;214;214;1
242;General Paz;Ranchos;6343030;1242;0;11;773;11;0;0;1448;3485;1
243;General Paz;Villanueva  (Ap. Río Salado);6343040;0;0;0;0;0;0;0;181;181;1
244;General Pinto;Colonia San Ricardo  (Est. Iriarte);6351010;141;0;0;0;0;0;0;121;262;1
245;General Pinto;General Pinto;6351020;0;0;3;0;0;1;0;0;4;1
246;General Pinto;Germania  (Est. Mayor José Orellano);6351030;1112;0;0;0;0;0;0;0;1112;1
247;General Pinto;Villa Francia  (Est. Coronel Granada);6351040;0;0;0;332;0;2;0;0;334;1
248;General Pueyrredón;Barrio Colinas Verdes;6351020;0;0;0;0;0;0;0;55;55;1
249;General Pueyrredón;Barrio El Boquerón;6357020;0;0;0;0;0;0;0;99;99;1
250;General Pueyrredón;Barrio El Casal;6357110;0;0;0;0;0;0;0;94;94;1
251;General Pueyrredón;Barrio El Coyunco;6357110;0;0;0;25;0;0;0;87;112;1
252;General Pueyrredón;Barrio La Gloria;6357050;0;0;0;0;0;0;0;350;350;1
253;General Pueyrredón;Barrio Santa Paula;6357060;0;0;0;127;0;0;0;97;224;1
254;General Pueyrredón;Batán;6357070;1313;0;0;1514;0;1;0;607;3435;1
255;General Pueyrredón;Chapadmalal;6357080;83;0;0;1664;0;2;0;479;2228;1
256;General Pueyrredón;Estación Chapadmalal;6357100;246;0;0;93;0;0;0;208;547;1
257;General Pueyrredón;Mar del Plata;6357110;15277;119493;533;110262;567;10;0;1153;247295;1
258;General Pueyrredón;OTROS;Sin Datos;0;0;0;151;0;0;0;0;151;1
259;General Pueyrredón;Sierra de los Padres;6357120;468;0;0;210;1;0;0;222;901;1
260;General Pueyrredón;Camet;6357090;1226;0;0;377;0;1;0;357;1961;1
261;General Pueyrredón;El Marquesado;6357090;0;0;0;0;0;0;0;8;8;1
262;General Rodríguez;General Rodríguez;6364030;1293;10669;21;7704;6074;1;0;509;26271;1
263;General Rodríguez;Barrio Ruta 24 Kilómetro 10;6364030;0;0;0;2;0;0;0;0;2;1
264;General San Martín;Barrio Parque General San Martin;6371010;0;0;3;2495;0;0;0;2;2500;1
265;General San Martín;Billinghurst;6371010;12;784;0;3338;0;0;0;0;4134;1
266;General San Martín;Ciudad Del Libertador General San Martin;6371010;3913;25272;5;5709;88;4;0;4;34995;1
267;General San Martín;OTROS;Sin Datos;11;0;0;0;0;0;0;0;11;1
268;General San Martín;Va Ma Irene De Los Remedios De Escalada;6371010;0;99;0;0;0;0;0;0;99;1
269;General San Martín;Villa Ayacucho;6371010;0;162;0;439;0;0;0;0;601;1
270;General San Martín;Villa Ballester;6371010;1963;22554;1;7335;32;0;0;347;32232;1
271;General San Martín;Villa Bernardo Monteagudo;6371010;0;548;0;959;0;0;0;0;1507;1
272;General San Martín;Villa Chacabuco;6371010;0;734;0;16;0;0;0;0;750;1
273;General San Martín;Villa Coronel Jose M. Zapiola;6371010;0;1336;0;1923;0;0;0;0;3259;1
274;General San Martín;Villa General Antonio J.  De Sucre;6371010;0;565;0;715;0;0;0;0;1280;1
275;General San Martín;Villa General Eugenio Necochea;6371010;0;3016;0;2336;0;0;0;0;5352;1
276;General San Martín;Villa General Jose Tomas Guido;6371010;0;1359;0;2033;0;0;0;0;3392;1
277;General San Martín;Villa General Juan G. Las Heras;6371010;0;607;0;971;0;0;0;0;1578;1
278;General San Martín;Villa Godoy Cruz;6371010;0;727;0;1129;0;0;0;0;1856;1
279;General San Martín;Villa Granaderos De San Martín;6371010;0;974;0;2357;0;0;0;382;3713;1
280;General San Martín;Villa Gregoria Matorras;6371010;0;1069;0;1938;0;0;0;0;3007;1
281;General San Martín;Villa José León Suarez;6371010;1612;3637;0;674;16;0;0;2210;8149;1
282;General San Martín;Villa Juan Martín De Pueyrredon;6371010;0;1153;0;2433;0;0;0;0;3586;1
283;General San Martín;Villa Libertad;6371010;0;1197;0;2303;0;0;0;0;3500;1
284;General San Martín;Villa Lynch;6371010;267;2222;2;14;2;0;0;0;2507;1
285;General San Martín;Villa Maipu;6371010;97;1572;0;2867;0;0;0;545;5081;1
286;General San Martín;Villa Marqués Alejandro  María De Aguado;6371010;0;588;0;1124;0;0;0;0;1712;1
287;General San Martín;Villa Parque Pres Figueroa Alcorta;6371010;0;203;0;327;0;0;0;0;530;1
288;General San Martín;Villa Parque San Lorenzo;6371010;0;170;0;360;32;0;0;0;562;1
289;General San Martín;Villa San Andrés;6371010;964;5813;0;1103;20;0;0;586;8486;1
290;General San Martín;Villa Yapeyú;6371010;0;276;0;470;0;0;0;0;746;1
291;General San Martín;Ciudad Jardin El Libertador;6371010;0;12;0;0;0;0;0;0;12;1
292;General Viamonte;Baigorrita;6385010;562;0;0;0;0;0;0;61;623;1
293;General Viamonte;Los Toldos;6385030;262;0;1;4453;0;0;0;47;4763;1
294;General Viamonte;Zavalía;6385050;0;0;0;0;0;0;0;31;31;1
295;General Villegas;Banderaló;6392010;0;0;0;0;250;1;0;0;251;1
296;General Villegas;Cañada Seca;6392020;0;0;0;0;200;0;0;0;200;1
297;General Villegas;Coronel Charlone;6392030;317;0;0;60;0;1;0;0;378;1
298;General Villegas;Emilio V. Bunge;6392040;0;0;0;0;0;1;0;0;1;1
299;General Villegas;General Villegas  (Est. Villegas);6392050;315;23;0;3504;0;1;0;46;3889;1
300;General Villegas;Piedritas;6392080;368;0;0;189;0;1;0;58;616;1
301;General Villegas;Santa Regina;6392100;0;75;0;0;0;0;0;0;75;1
302;General Villegas;Pichincha;6392070;0;0;0;0;0;1;0;0;1;1
303;Guaminí;Casbas;6399020;0;0;1;0;0;0;0;130;131;1
304;Guaminí;Guaminí;6399040;0;0;0;75;0;0;0;349;424;1
305;Guaminí;Laguna Alsina  (Est. Bonifacio);6399050;196;0;0;96;0;0;0;184;476;1
306;Guaminí;Arroyo Venado;6399010;0;0;0;0;0;0;0;43;43;1
307;Guaminí;Garré;6399030;0;0;0;288;0;0;0;0;288;1
308;Hipólito Yrigoyen;Henderson;6406010;113;0;1;0;0;0;0;810;924;1
309;Hurlingham;Hurlingham;6408010;548;15356;57;16946;65;0;0;296;33268;1
310;Hurlingham;Villa Santos Tesei;6408010;122;7257;27;13191;1;0;0;72;20670;1
311;Hurlingham;William C. Morris;6408010;0;17;0;13;0;0;0;351;381;1
312;Ituzaingó;Ituzaingó Centro;6410010;419;26927;122;22285;122;3;0;199;50077;1
313;Ituzaingó;Ituzaingó Sur;6410010;0;0;0;0;0;0;0;30;30;1
314;Ituzaingó;OTROS;Sin Datos;2;0;0;2;0;0;0;0;4;1
315;Ituzaingó;Villa Gobernador Udaondo;6410010;21;8869;9;3253;0;0;0;338;12490;1
316;José C. Paz;Del Viso;6412010;0;241;0;0;0;0;0;0;241;1
317;José C. Paz;José C Paz;6412010;2429;29183;84;12224;482;3;0;108;44513;1
318;José C. Paz;Tortuguitas;6412010;0;1558;0;0;0;0;0;0;1558;1
319;Junín;Agustín Roca;6413010;0;0;0;89;0;0;0;210;299;1
320;Junín;Agustina;6413020;0;0;0;8;0;0;0;0;8;1
321;Junín;Balneario Laguna de Gómez;6413030;0;0;0;0;0;0;0;4;4;1
322;Junín;Fortín Tiburcio;6413040;0;0;0;0;0;0;0;69;69;1
323;Junín;Junín;6413050;3103;18154;87;4314;89;1;0;7694;33442;1
324;Junín;Laplacette;6413060;0;0;0;1;0;0;16;0;17;1
325;Junín;Morse;6413070;0;57;0;254;0;0;0;117;428;1
326;Junín;Saforcada;6413080;0;0;0;0;1;0;0;75;76;1
327;La Costa;Las Toninas;6420010;435;1076;2;68;401;0;0;26;2008;1
328;La Costa;Mar de Ajó - San Bernardo;6420020;1442;4326;33;9049;1042;0;0;1;15893;1
329;La Costa;San Clemente del Tuyú;6420030;1968;3551;5;743;2343;0;0;40;8650;1
330;La Costa;Santa Teresita - Mar del Tuyú;6420040;4615;7654;16;191;18;0;0;201;12695;1
331;La Costa;Aguas Verdes;6420030;28;0;0;141;0;0;0;1;170;1
332;La Costa;Lucila Del Mar;6420030;101;943;0;1469;205;0;0;1;2719;1
333;La Matanza;20 De Junio;6427010;26;711;4;0;0;0;0;2;743;1
334;La Matanza;Aldo Bonzi;6427010;3;3087;0;0;1;0;0;2;3093;1
335;La Matanza;Ciudad Evita;6427010;351;10400;27;3171;31;0;0;108;14088;1
336;La Matanza;Gonzalez Catán;6427010;119;31801;27;15038;33;8;0;1525;48551;1
337;La Matanza;Gregorio De Laferrere;6427010;88;27133;15;19580;29;0;0;1469;48314;1
338;La Matanza;Isidro Casanova;6427010;191;21924;34;26916;61;0;0;261;49387;1
339;La Matanza;La Tablada;6427010;365;15821;2;6;7;0;0;972;17173;1
340;La Matanza;Lomas Del Mirador;6427010;637;13124;11;4;13;0;0;66;13855;1
341;La Matanza;Rafael Castillo;6427010;34;14559;10;9175;7;0;0;290;24075;1
342;La Matanza;Ramos Mejía;6427010;818;37040;80;7821;95;2;0;20;45876;1
343;La Matanza;San Justo;6427010;668;25226;101;13384;111;1;0;879;40370;1
344;La Matanza;Tapiales;6427010;696;3780;27;7674;14;1;0;2;12194;1
345;La Matanza;Villa  Eduardo Madero;6427010;194;16921;50;11900;76;0;0;174;29315;1
346;La Matanza;Villa Luzuriaga;6427010;170;17418;1;30;1;0;0;115;17735;1
347;La Matanza;Virrey Del Pino;6427010;4526;20890;0;1002;0;0;0;406;26824;1
348;La Plata;Abasto;6441030;176;621;0;4188;0;0;0;5;4990;1
349;La Plata;Angel Etcheverry;6441030;0;713;0;0;0;0;0;5;718;1
350;La Plata;Arturo Segui;6441030;0;184;0;0;0;0;0;0;184;1
351;La Plata;Barrio El Peligro;6441030;466;0;0;0;0;0;0;0;466;1
352;La Plata;City Bell;6441030;0;12406;0;239;0;0;0;145;12790;1
353;La Plata;colonia la plata;6441030;63;0;0;0;0;0;0;0;63;1
354;La Plata;Ignacio Correas;6441020;0;0;0;0;2;0;0;46;48;1
355;La Plata;Joaquin Gorina;6441030;0;887;0;132;0;0;0;0;1019;1
356;La Plata;Jose Hernandez;6441030;0;30;0;20;0;0;0;0;50;1
357;La Plata;Jose Melchor Romero;6441030;0;931;0;0;0;0;0;0;931;1
358;La Plata;La Cumbre;6441030;0;0;0;0;0;0;0;145;145;1
359;La Plata;La Plata;6441030;11804;131295;537;39486;805;9;0;3239;187175;1
360;La Plata;Lisandro Olmos;6441030;0;2667;0;0;0;0;0;0;2667;1
361;La Plata;Los Hornos;6441030;0;3559;0;482;0;0;0;145;4186;1
362;La Plata;Manuel B Gonnet;6441030;0;12328;0;318;0;0;0;0;12646;1
363;La Plata;OTROS;Sin Datos;0;22;0;9;0;0;0;0;31;1
364;La Plata;Ringuelet;6441030;0;4065;0;255;0;0;0;0;4320;1
365;La Plata;Tolosa;6441030;0;13380;0;513;0;0;0;0;13893;1
366;La Plata;Villa Elisa;6441030;0;6400;0;151;0;0;0;145;6696;1
367;La Plata;Villa Elvira;6441030;0;4811;0;145;0;0;0;1068;6024;1
368;La Plata;ruta del sol;6441030;292;0;0;0;0;0;0;0;292;1
369;La Plata;El Retiro;6441030;0;0;0;1;0;0;0;0;1;1
370;La Plata;Transradio;6441030;0;0;0;0;0;1;0;0;1;1
371;La Plata;Arana;6441030;0;0;0;0;0;0;0;129;129;1
372;La Plata;Villa Garibaldi;6441030;0;0;0;0;0;0;0;904;904;1
373;La Plata;Villa Parque Sicardi;6441030;0;0;0;0;0;0;0;1094;1094;1
374;La Plata;Barrio El Carmen Oeste;6441030;0;0;0;0;0;0;0;145;145;1
375;La Plata;Barrio Gambier;6441030;0;0;0;0;0;0;0;145;145;1
376;La Plata;Villa Montoro;6441030;0;0;0;0;0;0;0;145;145;1
377;Lanús;Gerli;6434010;42;6192;14;6109;3;0;0;0;12360;1
378;Lanús;Lanús Este;6434010;551;26865;83;26681;82;1;0;315;54578;1
379;Lanús;Lanús Oeste;6434010;0;12109;1;14750;0;0;0;364;27224;1
380;Lanús;Monte Chingolo;6434010;73;10735;47;15991;71;0;0;0;26917;1
381;Lanús;Remedios Escalada De San Martin;6434010;65;14123;19;5154;19;0;0;344;19724;1
382;Lanús;Valentín Alsina;6434010;192;7221;79;12116;91;0;0;3;19702;1
383;Laprida;Laprida;6448010;0;22;0;2741;0;0;0;0;2763;1
384;Laprida;Pueblo Nuevo;6448020;0;0;0;0;0;0;0;8;8;1
385;Laprida;Pueblo San Jorge;6448030;0;0;0;0;0;0;0;117;117;1
386;Las Flores;Las Flores;6455030;1803;0;0;2872;0;0;0;807;5482;1
387;Las Flores;Coronel Boerr;6455010;0;0;0;0;0;0;0;3;3;1
388;Las Flores;El Trigo;6455020;0;0;0;1;0;0;0;3;4;1
389;Las Flores;Pardo;6455040;0;0;0;0;0;0;0;4;4;1
390;Leandro N. Alem;Alberdi Viejo;6462010;2;0;0;0;2;0;0;2;6;1
391;Leandro N. Alem;El Dorado;6462020;0;0;0;0;0;1;0;117;118;1
392;Leandro N. Alem;Fortín Acha;6462030;0;0;0;0;0;0;0;39;39;1
393;Leandro N. Alem;Juan Bautista Alberdi  (Est. Alberdi);6462040;252;457;0;396;0;0;0;8;1113;1
394;Leandro N. Alem;Leandro N. Alem;6462050;0;185;0;0;0;0;0;64;249;1
395;Leandro N. Alem;Vedia;6462060;941;0;0;15;573;1;0;1307;2837;1
396;Lincoln;Bayauca;6469020;0;0;0;0;1;0;0;43;44;1
397;Lincoln;Coronel Martínez de Hoz  (Ap. Kilómetro 322);6469050;288;0;0;0;0;0;0;0;288;1
398;Lincoln;El Triunfo;6469060;0;0;1;10;0;0;0;0;11;1
399;Lincoln;Las Toscas;6469070;330;0;0;0;0;0;0;0;330;1
400;Lincoln;Lincoln;6469080;813;8713;39;11;1;0;0;0;9577;1
401;Lincoln;Pasteur;6469090;0;0;0;0;0;2;0;487;489;1
402;Lincoln;Roberts;6469100;0;0;1;699;0;0;0;0;700;1
403;Lincoln;Arenaza;6469010;0;0;0;293;0;0;0;0;293;1
404;Lincoln;Carlos Salas;6469040;0;0;0;0;0;0;0;123;123;1
405;Lobería;Lobería;6476030;753;0;7;902;15;1;0;716;2394;1
406;Lobería;San Manuel;6476050;0;0;0;322;0;0;0;177;499;1
407;Lobería;Arenas Verdes;6476010;0;0;0;0;0;0;0;11;11;1
408;Lobería;Licenciado Matienzo;6476020;0;0;0;0;0;0;0;1;1;1
409;Lobería;Pieres;6476040;0;0;0;0;0;0;0;7;7;1
410;Lobería;Tamangueyú;6476060;0;0;0;0;0;0;0;28;28;1
411;Lobos;Antonio Carboni;6483010;4;0;1;122;156;0;0;101;384;1
412;Lobos;Elvira;6483020;0;0;0;61;0;0;0;74;135;1
413;Lobos;Lobos;6483040;730;5;10;2850;0;0;0;1510;5105;1
414;Lobos;Salvador María;6483050;87;0;0;446;0;0;0;265;798;1
415;Lomas De Zamora;Banfield;6490010;302;58077;80;9727;180;1;0;0;68367;1
416;Lomas De Zamora;Llavallol;6490010;136;7197;34;7044;36;0;0;2;14449;1
417;Lomas De Zamora;Lomas De Zamora;6490010;550;35345;112;11636;300;2;0;2332;50277;1
418;Lomas De Zamora;Temperley;6490010;39;25508;19;9103;50;2;0;0;34721;1
419;Lomas De Zamora;Turdera;6490010;38;2399;21;6294;1;0;0;0;8753;1
420;Lomas De Zamora;Villa Centenario;6490010;0;45;0;165;0;0;0;300;510;1
421;Lomas De Zamora;Villa Fiorito;6490010;0;175;0;203;0;0;0;666;1044;1
422;Luján;Barrio Las Casuarinas;6497060;0;0;0;115;0;0;0;25;140;1
423;Luján;Carlos Keen;6497020;0;0;0;0;0;0;0;20;20;1
424;Luján;Cortines;6497060;79;0;0;402;0;0;0;41;522;1
425;Luján;José María Jáuregui (Est. Jáuregui);6497060;450;1003;0;2356;0;0;0;20;3829;1
426;Luján;Lezica y Torrezuri;6497060;0;0;0;0;0;0;0;38;38;1
427;Luján;Luján;6497060;2440;12795;37;10525;37;1;0;2032;27867;1
428;Luján;Olivera;6497070;0;0;0;5;0;0;0;42;47;1
429;Luján;Open Door  (Est. Dr. Domingo Cabred);6497060;306;0;4;0;0;0;0;49;359;1
430;Luján;OTROS;Sin Datos;0;0;0;0;0;0;0;42;42;1
431;Luján;Torres;6497090;148;0;0;0;0;0;0;21;169;1
432;Magdalena;General Mansilla  (Est. Bartolomé Bavio);6505020;0;544;0;409;0;0;0;0;953;1
433;Magdalena;Magdalena;6505040;708;2980;1;0;0;0;437;3;4129;1
434;Magdalena;Vieytes;6505060;0;0;0;28;0;0;0;84;112;1
435;Magdalena;Atalaya;6505010;0;0;0;353;0;0;0;0;353;1
436;Magdalena;Los Naranjos;6505030;0;0;0;46;0;0;0;0;46;1
437;Magdalena;Roberto J. Payró;6505050;0;0;0;0;0;0;0;32;32;1
438;Maipú;Las Armas;6511010;99;0;0;0;0;0;0;54;153;1
439;Maipú;Maipú;6511020;644;0;7;0;1100;0;0;20;1771;1
440;Maipú;Santo Domingo;6511030;0;0;0;0;0;1;0;7;8;1
441;Malvinas Argentinas;Area De Promocion El Triángulo;6515010;101;0;0;110;0;0;0;0;211;1
442;Malvinas Argentinas;Grand Bourg;6515010;3582;6742;0;5342;1;0;0;0;15667;1
443;Malvinas Argentinas;Ingeniero Adolfo Sourdeaux;6515010;454;3207;0;2;1;0;0;110;3774;1
444;Malvinas Argentinas;Ingeniero Pablo Nogués;6515010;1069;3114;3;853;3;0;0;1;5043;1
445;Malvinas Argentinas;Los Polvorines;6515010;263;6636;23;6167;5;1;0;1;13096;1
446;Malvinas Argentinas;Malvinas Argentinas;6515010;0;78;0;1;0;0;0;14;93;1
447;Malvinas Argentinas;Tortuguitas;6515010;1620;3463;1;46;4170;0;0;0;9300;1
448;Malvinas Argentinas;Villa De Mayo;6515010;28;3585;3;2569;5;0;0;22;6212;1
449;Mar Chiquita;Coronel Vidal;6518010;3;1607;0;284;0;0;0;159;2053;1
450;Mar Chiquita;General Pirán;6518020;0;0;1;750;0;0;0;69;820;1
451;Mar Chiquita;La Armonía;6518030;0;0;0;0;0;0;0;101;101;1
452;Mar Chiquita;Mar de Cobo;6518050;182;0;1;1439;0;0;0;0;1622;1
453;Mar Chiquita;Santa Clara del Mar;6518060;2053;0;0;699;0;0;0;736;3488;1
454;Mar Chiquita;Playa Dorada;6518020;0;0;0;0;0;0;0;98;98;1
